x1,x2,x3,x4,x5,x6,x7,x8,class
42.097,34.458,37.898,34.765,33.09,34.882,33.71,36.795,4
-4.8691,-7.39,-2.6648,-7.0198,-2.6608,-7.6701,-10.579,-4.2273,5
11.168,14.829,14.851,17.294,16.592,9.2185,5.47,14.844,6
34.929,39.733,28.089,38.286,40.861,43.474,29.214,36.812,4
42.394,48.185,39.612,44.192,48.287,47.992,47.971,39.793,1
-54.537,-39.54,-28.264,-33.85,-11.667,-29.43,-47.452,-46.209,2
81.447,53.583,65.66,66.587,79.76,56.817,93.245,71.922,1
-43.613,-45.682,-43.291,-43.42,-48.07,-47.626,-48.01,-44.157,3
90.365,62.955,69.894,50.012,65.632,71.605,85.987,57.726,1
-9.5095,-0.64101,-6.2929,-9.6981,-8.72,0.39298,-7.2491,1.086,2
2.3609,5.6856,4.9853,2.2304,5.4115,0.45121,6.9091,1.2919,5
43.739,37.686,34.253,41.486,38.127,39.747,40.716,39.552,8
10.028,10.637,8.4988,8.6206,9.0186,9.5865,7.87,14.084,6
39.379,48.341,58.463,55.832,67.388,65.654,62.592,66.889,1
-9.475,-28.687,-11.032,-12.886,-17.18,-13.854,-8.212,-13.032,7
36.524,39.107,36.062,34.105,30.062,38.339,39.746,33.641,4
-54.472,-55.839,-56.293,-47.936,-57.59,-54.806,-56.797,-58.27,3
-16.333,-11.909,-5.2457,-5.1289,-10.848,-7.1399,-10.9,-16.004,7
-33.83,-71.136,-36.413,-45.584,-29.747,-39.936,-46.894,-33.972,2
-12.836,-13.757,-14.347,-16.4,-18.698,-12.202,-10.757,-18.416,7
-39.365,-42.346,-41.331,-40.653,-43.205,-39.776,-38.712,-41.551,3
20.696,27.697,37.057,33.222,33.22,24.226,23.37,33.099,4
-45.7,-45.872,-41.645,-41.533,-42.444,-43.628,-42.824,-44.533,3
-15.8,-14.665,-14.109,-9.408,-14.011,-13.34,-13.056,-10.745,7
49.55,46.011,45.93,47.717,39.407,49.348,49.381,59.788,1
-15.571,-16.506,-16.513,-9.6891,-8.9603,-18.257,-7.8769,-10.923,7
-40.951,-41.532,-41.795,-40.501,-40.571,-40.122,-37.651,-41.562,3
-0.59948,-1.38,1.9895,0.86183,3.0024,5.8544,4.3242,5.5171,5
6.9934,10.651,11.803,8.384,11.966,9.3114,9.1917,14.111,6
34.441,32.822,37.128,35.468,41.023,36.485,37.533,36.957,8
12.788,13.643,13.19,8.4355,11.973,11.273,10.921,15.496,6
-50.528,-48.082,-48.988,-49.506,-47.339,-46.552,-42.877,-42.681,3
37.214,34.356,40.001,36.45,36.18,41.742,38.703,38.006,8
37.511,35.71,42.242,33.023,35.674,27.637,37.858,37.965,4
-37.589,-15.653,-32.496,-27.446,-33.342,-33.832,-43.867,-52.212,2
2.5411,4.0968,-1.4048,4.8203,2.6702,3.0302,5.8777,1.9344,5
32.766,36.609,37.323,36.358,47.273,23.765,37.464,33.686,8
29.058,40.698,46.621,33.596,41.728,36.578,35.287,35.006,8
-44.908,-44.79,-46.91,-45.945,-43.565,-49.896,-44.597,-41.824,3
0.32825,-3.2465,-4.4524,-4.2467,0.44712,-4.6281,-2.97,-7.5321,5
56.2,52.825,58.086,48.091,60.674,51.022,49.08,63.564,1
23.495,25.916,26.982,29.714,32.145,30.204,34.324,35.391,4
26.608,32.006,28.715,30.401,27.442,31.385,42.989,26.448,4
1.6062,-2.0707,5.3896,-0.62276,-1.3698,1.2877,1.2533,-2.163,5
42.542,21.393,40.667,42.816,39.725,24.476,36.691,33.093,4
46.109,41.882,47.712,43.546,42.112,43.237,50.339,45.927,1
49.703,35.858,44.081,46.454,47.608,45.404,49.794,45.951,1
-52.116,-22.608,-51.458,-28.292,-53.416,-14.09,-44.621,-17.217,2
-6.779,-3.6237,-6.3575,-4.442,-3.0926,-2.9652,-3.4177,-2.207,5
-7.2665,-5.4211,-3.7981,-6.7431,-5.2828,-8.3424,-5.931,-4.2305,5
-43.128,-39.563,-38.576,-40.864,-38.339,-41.062,-40.817,-38.055,3
-40.528,-39.664,-40.482,-40.373,-39.84,-40.996,-39.125,-41.028,3
-9.2666,-12.655,-11.972,-14.405,-14.988,-13.424,-18.465,-13.626,7
35.731,37.569,37.706,38.725,39.669,34.254,38.241,38.888,4
39.986,32.698,36.175,39.925,39.79,36.619,36.506,34.479,4
40.878,29.799,35.523,30.242,41.11,37.147,36.245,33.719,8
-8.581,-3.646,-3.6839,-2.982,-1.3018,-3.8788,-4.4103,-3.8027,5
28.964,29.477,30.639,22.239,26.867,26.809,31.042,31.959,4
18.174,8.3401,11.155,14.264,10.681,11.831,10.478,1.9466,6
-14.25,-11.468,-14.171,-16.215,-11.506,-14.163,-15.399,-14.066,7
11.999,10.568,10.906,10.218,11.432,8.5188,6.937,10.485,6
35.074,42.249,39.127,37.414,36.333,41.097,36.711,30.926,4
