x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,g(x)
-5.64,-4.6092,-6.2871,-2.081,-2.1911,-8.3584,-6.9223,-5.7769,-5.961,-1.8677,25.116
-2.9318,-7.9703,-3.5752,-1.6307,-5.98,-2.904,-4.9043,-6.1257,-3.8219,-2.4928,52.68
-2.6005,-2.1472,-2.0314,-3.2542,-4.5976,-6.2064,-4.1681,-9.3761,-6.4182,-4.6966,61.213
-2.9836,-2.8963,-6.1299,-4.8738,-6.4886,-3.5598,-5.4425,-3.8071,-6.248,-1.6895,90.111
0.72881,-6.8042,-5.0852,-1.8109,-4.5915,-3.2527,-3.7225,-0.75989,-3.6195,-4.3402,56.227
-5.4155,-1.7725,-8.1821,-2.5211,0.093201,0.13955,-5.9882,-1.9772,-1.3203,-5.2207,20.562
-4.5853,-3.6054,-6.8468,-6.6343,-3.7038,-1.8168,-4.6409,-3.5671,-9.586,-2.3116,78.746
-5.2181,0.039185,-0.40546,1.6523,-7.6426,-5.7441,-2.1709,-6.7136,-5.4925,-3.1786,87.448
-0.17339,-7.3812,-4.1371,-5.4765,-5.9158,-1.7865,0.49911,-3.3315,-1.3087,-6.7305,21.184
-5.086,-0.34436,-2.9992,-6.0505,-2.0629,-4.4415,-3.0609,-2.4103,-1.743,-4.6819,29.409
-5.4248,-4.2499,-4.3069,-4.1195,-1.2499,-8.3216,-0.63293,-4.8853,-3.504,-6.9654,-20.915
-5.5254,0.069201,-4.6389,-4.4913,-9.2114,-8.3181,-3.5105,-7.104,-3.9909,-1.7414,69.859
-8.0062,-6.0664,-4.0067,-3.8899,-3.453,-6.7917,-2.6985,-1.4598,-3.2991,-2.0272,11.223
2.4342,-4.7046,-0.97263,-1.8882,-3.6724,-7.7783,-3.2692,-3.3773,-5.967,-0.5062,49.986
-8.9633,-0.74521,-5.3097,-3.8214,-3.2325,-5.9336,-5.7498,-3.713,-5.4386,-2.7556,55.314
-4.7638,-5.4254,-7.4394,-3.9515,-8.9916,1.1023,-2.5509,-4.9698,-3.0217,-6.5815,76.449
-4.0053,-7.1481,-1.9488,-9.2592,-1.2986,-6.7612,-5.5618,-7.7949,-4.468,-4.7684,16.551
-2.5021,-3.2984,-1.7806,-3.1179,-1.4112,-3,-4.9375,-2.9107,-2.8795,-5.7083,51.957
-3.0275,-5.2865,-7.915,-6.6285,-3.6001,-5.0021,-1.0897,-5.1894,-2.482,-7.4214,-7.8262
-1.0252,-9.0117,-2.8369,0.24067,-1.9439,2.9929,-3.9026,-6.849,-4.5074,-4.7365,37.146
-2.4531,0.093723,-7.1535,-3.7929,-9.1745,-5.1439,-5.3792,-1.9979,-5.9173,-7.5233,138.78
-7.0123,-5.4656,-4.5209,-8.3687,-5.4239,-0.71533,-4.2161,-8.4449,-3.5317,-2.6197,37.886
-5.4269,-1.7826,-3.3555,-1.3421,-6.9994,-3.8317,-4.4412,-3.8838,-5.099,-6.942,107.9
-3.6958,-3.867,-2.5863,-3.0585,-4.4235,-8.0075,-3.3718,-4.0149,-4.4323,-3.781,44.099
-3.3617,-2.0454,-3.2,0.00139,-1.9948,-5.023,-8.1626,-1.2794,-3.7231,-1.6136,73.716
-3.0038,0.98889,-1.1413,-5.1848,-2.5743,-1.4045,-5.3731,-4.955,-3.4605,-3.977,78.707
-5.6236,-2.9042,-8.5841,-3.087,-4.693,-3.2353,-1.4344,-0.36006,-2.4509,-1.7908,13.294
-5.294,-1.3773,-3.4792,-1.3253,-8.0095,-3.8042,0.44957,-1.2142,-3.2061,-2.5013,59.812
-2.3834,-7.3115,-3.5618,-5.9311,-6.1131,-4.4674,-3.4342,0.19721,-5.0378,1.7282,59.792
-8.9751,-5.4983,-8.0213,-5.071,-4.0275,-0.97655,-5.749,-5.8723,-4.167,0.70506,21.217
-3.2287,-4.8091,-6.1776,-9.7518,-7.0925,-4.3331,-3.3276,-6.3385,-4.835,0.3826,40.075
-7.4365,-2.2594,-1.1381,-3.0235,-2.778,-0.40639,-4.214,-7.4344,-3.1968,-3.737,45.375
-0.94876,-2.1531,-4.7994,-3.0507,-3.0263,-5.2533,-1.0034,-3.0546,-5.3001,-6.1881,37.525
-4.712,-2.804,-5.6565,-5.4039,-1.698,-6.4276,-6.2896,-2.9235,-3.8266,-4.6168,37.316
-1.3069,-0.79477,-3.3963,-6.3273,-5.4041,-2.3018,-6.3755,-5.6822,-6.2278,-2.4913,106.75
-6.4128,-3.1648,-1.6552,-2.646,-4.9197,-2.6191,-0.88453,-7.5193,-1.9941,-8.0727,30.677
-2.8964,-2.0562,-11.149,-2.8877,-9.0203,-6.4813,-6.0616,-6.8868,-3.2891,-9.2333,80.866
-5.3031,-4.0828,-5.3598,-6.2349,-3.953,-4.3099,-1.7564,-5.0088,-2.8376,0.5687,-6.0671
-5.5334,-6.7219,-5.6611,-2.6904,-5.2775,-4.1111,-2.9621,-7.2793,-4.4822,-5.4186,26.012
-8.233,-7.3991,0.40138,-3.6538,-6.6996,-5.8003,-7.4492,-8.8387,-3.9235,-7.6899,91.272
-7.7577,-7.2313,-4.5573,-8.964,-6.6443,-4.2353,0.26595,-4.1883,-5.5325,-2.1328,22.664
-6.316,-3.8953,-8.54,-2.1611,-8.9595,-1.3947,-9.4042,-2.8498,-3.5183,-0.40516,114.95
-2.2491,-1.8682,-4.9047,2.7197,-3.0999,-1.7349,-2.6691,-4.766,0.5354,-5.8925,13.704
-4.7888,-2.597,-0.70214,-8.5914,-3.3566,-4.572,-5.1917,-8.6156,-5.8529,-5.3508,66.814
-7.8053,-1.716,-5.5046,-4.0333,-2.6148,-5.5193,-10.444,-5.1223,-8.8695,-4.7177,111.56
-3.6425,-6.855,-7.5781,-4.0547,-4.9782,-4.382,-2.9848,1.0745,-2.5433,0.67945,16.627
-8.1189,-5.72,-0.82957,-10.044,-6.6157,-3.455,0.30456,-5.4205,-0.54067,-5.0421,15.71
-2.7836,-7.0504,-6.7794,-3.6988,-6.7905,-7.9987,-4.8973,-5.9248,-5.1392,-9.5329,65.667
-6.3329,-1.4566,-3.2815,-10.145,-5.1685,-2.466,-4.163,-2.5648,-8.5987,-8.2935,126.19
-1.0356,-2.0877,-3.412,-6.3202,-4.8239,-6.2674,-3.1061,-5.9237,-4.6496,-2.0574,43.676
-3.8061,-1.5857,-7.4479,-1.9731,-5.6394,-1.3667,-5.8078,-5.9769,-1.1363,-1.8516,46.147
-3.5534,-7.235,-3.5548,-4.4222,-6.912,-1.1881,-5.3283,-6.1296,-4.8425,-3.711,82.646
-0.68484,-3.2926,-1.7083,-5.0159,-7.1241,-3.2623,1.2873,-3.8713,-8.9965,-1.8297,79.304
2.3384,-9.1887,-5.1018,-4.0126,-6.8409,-6.7786,-8.8086,-6.7577,-4.1479,-8.4522,94.925
-8.2963,-2.6878,-2.7113,-3.1165,-4.4619,-4.3313,-2.7672,-2.1152,-4.9748,-4.0074,61.814
-2.303,-5.2109,-8.9866,-4.3787,-4.421,-4.732,-4.6622,-6.6455,-6.1007,-6.3661,42.324
-6.7326,-4.7542,-5.809,-5.9426,-6.0916,-0.30868,-8.4226,-1.5869,-4.0576,-4.0752,113.36
-8.5783,1.0479,-4.2415,-0.66056,-5.1168,-7.0178,-4.0085,-7.9838,-4.9852,-3.8558,49.317
-2.9297,-4.424,-2.451,-2.9109,-2.6161,-6.6795,-1.9214,-5.4669,-11.219,-4.6138,61.094
-0.9841,-0.40201,-5.6971,-4.2031,-4.3373,-3.2244,-5.5174,-3.1722,-1.053,-4.4423,60.508
3.3663,-2.4251,-1.142,0.044606,-4.4466,-6.3677,-6.4408,-1.4687,-6.1383,-4.6712,118.44
-1.7652,-6.605,-6.0249,-3.8385,0.31307,-3.3868,-2.7943,-5.8696,-4.4964,-6.953,-10.101
-8.5834,1.843,-2.2082,0.46506,-3.3474,-5.1886,-9.1967,-2.9619,-6.289,-3.2593,122.59
-1.4853,-3.3041,-4.2088,-3.3442,-4.4423,2.8516,-6.9118,-5.6629,-2.2014,-3.7967,84.435
-6.0717,-3.9836,-2.8526,-4.6336,-2.2054,-5.903,-5.1409,-2.6284,-4.6591,-3.224,46.809
-7.2397,-1.8453,-0.96367,-5.8953,-3.5638,-6.2209,-4.4958,-6.89,2.4576,-1.8676,-3.761
-6.1482,-6.4941,-3.4354,-5.0654,-6.955,-5.8031,-9.7318,-3.1458,-4.3383,-5.7536,122.38
-0.59935,-3.905,-5.5238,-5.5048,-4.7349,-8.7971,-7.5704,-6.2559,-2.0566,-2.7813,40.197
-2.4764,-4.5685,-1.2719,-8.8556,-4.304,-3.6628,-5.8946,-7.0492,-0.33108,-7.1722,52.011
-5.5878,-4.0649,-6.3949,-6.2429,-1.4208,-6.0842,-0.81809,-6.4229,-3.0205,-1.0024,-49.407
-4.9652,-4.4984,-1.4058,-7.9083,-1.2957,-4.5253,-3.3731,-6.6091,-1.648,-8.4296,13.067
-2.9918,-4.7068,-3.5464,-4.543,-3.7605,-3.6102,-4.4085,-2.7563,-5.9016,-4.8218,72.823
-3.4893,-0.67403,-4.3617,-3.2474,0.33155,-0.95278,-4.2352,-4.4184,-6.9958,-3.0589,47.166
-2.1044,-1.9177,-5.529,-6.334,-8.0417,-3.7704,-2.8447,0.0070578,-4.6021,-3.1297,98.006
-2.832,-6.1553,-3.8039,-4.1791,-2.1108,-9.0925,-4.2768,-3.7113,0.4813,-6.4669,-10.912
-4.4872,-2.6096,-6.8151,-7.5881,-6.4476,-5.9077,-6.1285,-7.4024,-8.7847,2.2088,72.667
-5.9777,-7.5121,-4.4767,-9.2869,-0.82465,-8.5869,-4.2872,-5.4166,-3.5428,-3.5163,-21.994
-3.3893,-9.3396,-3.6588,-5.1494,-6.128,-0.71012,-8.1379,-3.031,-4.4352,-0.57146,93.98
-3.6781,-3.873,-2.2286,-6.3304,-4.6891,-4.6893,-4.7946,-2.3489,-4.448,-7.4275,88.713
-2.5202,-6.5397,-5.0568,-6.2195,-5.5802,-5.664,-4.8373,-5.6332,-7.8973,-9.1515,88.481
-7.6609,-0.92544,-5.2745,-1.7309,-6.1143,-6.0909,0.14759,-2.5653,-6.3655,-3.9547,49.22
-6.6507,-6.1806,-5.0506,-7.4596,-2.5271,-4.4913,-8.3473,-3.8659,-8.9788,-7.134,97.979
-4.4939,-10.056,-2.2326,-7.6678,-3.6138,-7.0957,-3.0818,-4.1334,-6.0953,-6.7716,36.519
-5.3858,-5.3594,-1.14,-0.21035,-3.1017,-2.2156,-1.715,-7.5632,-7.178,-4.1789,42.32
